date,strategy,equity,benchmark_equity,drawdown,regime
2021-10-13,full_v0,16445.624001064014,12798.909629728741,-0.004754952494729903,2021_reflation_commodity_strength
2021-10-14,full_v0,16520.27924071693,12942.576356737234,-0.0002370176611184993,2021_reflation_commodity_strength
2021-10-15,full_v0,16570.37854690761,12879.56118404549,0.0,2021_reflation_commodity_strength
2021-10-18,full_v0,16546.25122831392,12683.815749591218,-0.0014560511412211596,2021_reflation_commodity_strength
2021-10-19,full_v0,16572.986158011896,12769.740453375647,0.0,2021_reflation_commodity_strength
2021-10-20,full_v0,16648.588244013237,12961.158532197322,0.0,2021_reflation_commodity_strength
2021-10-21,full_v0,16538.713386905558,12805.205100287962,-0.006599650102295573,2021_reflation_commodity_strength
2021-10-22,full_v0,16589.142362668394,12858.902700729472,-0.0035706259578028865,2021_reflation_commodity_strength
2021-10-25,full_v0,16614.116908673954,13152.188260387555,-0.0020705260310392992,2021_reflation_commodity_strength
2021-10-26,full_v0,16695.659540953275,13071.146148873779,0.0,2021_reflation_commodity_strength
2021-10-27,full_v0,16553.769623651668,13008.624453779621,-0.00849861108832295,2021_reflation_commodity_strength
2021-10-28,full_v0,16620.234467187445,12933.964589336347,-0.004517645653998703,2021_reflation_commodity_strength
2021-10-29,full_v0,16596.154748743287,12775.331220227254,-0.005959919820232917,2021_reflation_commodity_strength
2021-11-01,full_v0,16686.75853326935,12717.656120032983,-0.0005331330374874765,2021_reflation_commodity_strength
2021-11-02,full_v0,16668.806922993543,12778.995453409783,-0.0016083592201833197,2021_reflation_commodity_strength
2021-11-03,full_v0,16482.877712750465,12792.9488070693,-0.012744739294717422,2021_reflation_commodity_strength
2021-11-04,full_v0,16431.96624609844,12743.985935124669,-0.01579412267050684,2021_reflation_commodity_strength
2021-11-05,full_v0,16545.46735160297,12843.56995838594,-0.008995882371816366,2021_reflation_commodity_strength
2021-11-08,full_v0,16577.60208777216,12845.148329904843,-0.007071146419315055,2021_reflation_commodity_strength
2021-11-09,full_v0,16686.632852508865,12700.537634447377,-0.0005406607880491521,2021_reflation_commodity_strength
2021-11-10,full_v0,16584.927195119657,12646.08148905178,-0.006632403204078208,2021_reflation_commodity_strength
2021-11-11,full_v0,16604.61810880912,12858.490483289006,-0.0054530000399706235,2021_reflation_commodity_strength
2021-11-12,full_v0,16622.545086020826,12767.08903308768,-0.0043792492745258205,2021_reflation_commodity_strength
2021-11-15,full_v0,16657.93325702375,12838.485303859909,-0.0022596462174486742,2021_reflation_commodity_strength
2021-11-16,full_v0,16671.45383897133,12822.785238697963,-0.0014498200518865412,2021_reflation_commodity_strength
2021-11-17,full_v0,16630.44206197454,12672.223212414045,-0.003906253527676595,2021_reflation_commodity_strength
2021-11-18,full_v0,16655.495948220898,12707.138096426312,-0.002405630794869773,2021_reflation_commodity_strength
2021-11-19,full_v0,16516.771742325465,12693.803554576793,-0.01071462904409437,2021_reflation_commodity_strength
2021-11-22,full_v0,16597.61833106391,12541.023709959618,-0.005872257376168921,2021_reflation_commodity_strength
2021-11-23,full_v0,16786.650796949438,12690.293183151141,0.0,2021_reflation_commodity_strength
2021-11-24,full_v0,16747.020566297673,12680.54447627869,-0.002360818196025294,2021_reflation_commodity_strength
2021-11-26,full_v0,16141.4334048045,12382.95929211411,-0.03843633848999761,2021_reflation_commodity_strength
2021-11-29,full_v0,16135.700049910574,12195.114054559592,-0.03877788100275226,2021_reflation_commodity_strength
2021-11-30,full_v0,15835.42241489271,11912.738932350812,-0.05666576338322282,2021_reflation_commodity_strength
2021-12-01,full_v0,15838.690343808703,11641.13857688629,-0.05647108911761012,2021_reflation_commodity_strength
2021-12-02,full_v0,15891.745575165525,11702.914605897307,-0.053310528264907786,2021_reflation_commodity_strength
2021-12-03,full_v0,15953.923985268897,11702.857321781903,-0.04960648921295652,2021_reflation_commodity_strength
2021-12-06,full_v0,15955.909787351584,11636.253920765721,-0.04948819271017535,2021_reflation_commodity_strength
2021-12-07,full_v0,15969.197990715236,11719.371349011168,-0.04869659922768821,2021_reflation_commodity_strength
2021-12-08,full_v0,15974.377261153835,11811.332441308534,-0.04838806416007724,2021_reflation_commodity_strength
2021-12-09,full_v0,15916.499518615537,11638.666957241478,-0.051835907523139046,2021_reflation_commodity_strength
2021-12-10,full_v0,15947.697800434698,11755.582521610055,-0.04997739016928837,2021_reflation_commodity_strength
2021-12-13,full_v0,15972.69600963833,11726.13209126173,-0.04848821823701854,2021_reflation_commodity_strength
2021-12-14,full_v0,15924.950157127296,11632.150474285734,-0.05133249331538692,2021_reflation_commodity_strength
2021-12-15,full_v0,15925.070240599613,11667.096029275479,-0.051325339805507575,2021_reflation_commodity_strength
2021-12-16,full_v0,16001.28525403719,11739.199057079446,-0.04678512422829262,2021_reflation_commodity_strength
2021-12-17,full_v0,15951.414059031536,11617.878176483207,-0.04975600839148231,2021_reflation_commodity_strength
2021-12-20,full_v0,15873.603866256413,11625.333776809017,-0.054391250627489396,2021_reflation_commodity_strength
2021-12-21,full_v0,15950.228612855368,11763.128588550328,-0.04982662677691885,2021_reflation_commodity_strength
2021-12-22,full_v0,16054.158599484223,11919.376146836765,-0.043635398527401614,2021_reflation_commodity_strength
2021-12-23,full_v0,16072.999148796214,11863.982415117338,-0.04251304544221002,2021_reflation_commodity_strength
2021-12-27,full_v0,16090.013054037601,12124.302700824619,-0.041499507634866095,2021_reflation_commodity_strength
2021-12-28,full_v0,16024.270114580042,12064.697489327937,-0.04541588977998745,2021_reflation_commodity_strength
2021-12-29,full_v0,16068.94975604312,12047.0960209867,-0.04275427240297047,2021_reflation_commodity_strength
2021-12-30,full_v0,16072.042621114531,11923.672066258187,-0.04257002689093692,2021_reflation_commodity_strength
2021-12-31,full_v0,16090.14925461235,12049.33057330162,-0.041491394010749194,2021_reflation_commodity_strength
2022-01-03,full_v0,15991.388176157016,12023.424944165468,-0.04737470448464565,2022_rates_inflation_shock
2022-01-04,full_v0,16060.790431765994,12062.96641764841,-0.04324033268836147,2022_rates_inflation_shock
2022-01-05,full_v0,16018.565566097446,12026.667820277757,-0.04575571626185071,2022_rates_inflation_shock
2022-01-06,full_v0,15950.921153758109,11997.856610330762,-0.049785371322741856,2022_rates_inflation_shock
2022-01-07,full_v0,16015.508353053723,12084.160634618938,-0.04593783794179185,2022_rates_inflation_shock
2022-01-10,full_v0,15992.34221437223,12159.993786789282,-0.04731787133628551,2022_rates_inflation_shock
2022-01-11,full_v0,16083.337878069573,12377.951260551603,-0.04189715550690276,2022_rates_inflation_shock
2022-01-12,full_v0,16099.37570551836,12792.18226314326,-0.04094176377076786,2022_rates_inflation_shock
2022-01-13,full_v0,16055.056171407723,12474.162530388461,-0.04358192914066361,2022_rates_inflation_shock
2022-01-14,full_v0,16098.94022790987,12506.855070820833,-0.04096770567030206,2022_rates_inflation_shock
2022-01-18,full_v0,16095.28287278051,12591.98151296731,-0.041185578501136466,2022_rates_inflation_shock
2022-01-19,full_v0,16259.325561245147,12620.27635323761,-0.03141336780533488,2022_rates_inflation_shock
2022-01-20,full_v0,16236.712513896016,12562.032440232766,-0.03276045291615626,2022_rates_inflation_shock
2022-01-21,full_v0,16193.314759588979,12559.95365102211,-0.035345706808190824,2022_rates_inflation_shock
2022-01-24,full_v0,16214.552989944928,12528.47273397261,-0.034080521119106866,2022_rates_inflation_shock
2022-01-25,full_v0,16250.4831771031,12610.180533401206,-0.03194011874862912,2022_rates_inflation_shock
2022-01-26,full_v0,16159.174508059727,12631.649647764665,-0.03737948066470409,2022_rates_inflation_shock
2022-01-27,full_v0,16037.199322595976,12683.133942388653,-0.044645682061227765,2022_rates_inflation_shock
2022-01-28,full_v0,16079.796806114398,12782.826211299356,-0.042108101215966864,2022_rates_inflation_shock
2022-01-31,full_v0,16112.672426833517,12928.264917611694,-0.040149662864160995,2022_rates_inflation_shock
2022-02-01,full_v0,16183.530701166519,13031.476572607875,-0.035928554366098986,2022_rates_inflation_shock
2022-02-02,full_v0,16190.070771830258,13293.935818859734,-0.035538954871664585,2022_rates_inflation_shock
2022-02-03,full_v0,16227.41991201387,13092.172816401271,-0.033314023845494756,2022_rates_inflation_shock
2022-02-04,full_v0,16321.187929164871,13010.675818786753,-0.027728155747968053,2022_rates_inflation_shock
2022-02-07,full_v0,16372.775028532129,12953.535537910584,-0.024655053198135213,2022_rates_inflation_shock
2022-02-08,full_v0,16385.08877068045,12915.848863756151,-0.023921509485499093,2022_rates_inflation_shock
2022-02-09,full_v0,16506.267430621607,12964.507710856376,-0.01670275802596566,2022_rates_inflation_shock
2022-02-10,full_v0,16443.227233003945,12889.874068420917,-0.020458134746443868,2022_rates_inflation_shock
2022-02-11,full_v0,16626.98460206954,12971.068540784283,-0.00951149796413886,2022_rates_inflation_shock
2022-02-14,full_v0,16659.52634950989,13129.511251094522,-0.007572948825661285,2022_rates_inflation_shock
2022-02-15,full_v0,16513.322179777795,13093.039692621469,-0.016282498544695434,2022_rates_inflation_shock
2022-02-16,full_v0,16553.997234356375,13225.473830322831,-0.013859438991567052,2022_rates_inflation_shock
2022-02-17,full_v0,16667.01281984747,13265.891658470338,-0.007126971219518441,2022_rates_inflation_shock
2022-02-18,full_v0,16677.682078166235,13260.153347908303,-0.0064913912906917615,2022_rates_inflation_shock
2022-02-22,full_v0,16802.26791149484,13377.89710105646,0.0,2022_rates_inflation_shock
2022-02-23,full_v0,16855.162666257325,13490.398764542153,0.0,2022_rates_inflation_shock
2022-02-24,full_v0,16798.11076458767,13476.429024847408,-0.003384832457527631,2022_rates_inflation_shock
2022-02-25,full_v0,16618.14324580334,13331.623271607337,-0.014062125957910787,2022_rates_inflation_shock
2022-02-28,full_v0,16793.28508570866,13405.180000860648,-0.0036711351752505283,2022_rates_inflation_shock
2022-03-01,full_v0,17220.077094765005,13862.944753934486,0.0,2022_rates_inflation_shock
2022-03-02,full_v0,17325.90104134464,14123.938565423445,0.0,2022_rates_inflation_shock
2022-03-03,full_v0,17436.11057295884,14160.102392929257,0.0,2022_rates_inflation_shock
2022-03-04,full_v0,17729.520389256057,14537.58675504846,0.0,2022_rates_inflation_shock
2022-03-07,full_v0,18033.375586776576,14577.029172664314,0.0,2022_rates_inflation_shock
2022-03-08,full_v0,18312.464096854663,14677.861826775103,0.0,2022_rates_inflation_shock
2022-03-09,full_v0,17644.672490317407,14106.684142837807,-0.03646650734741674,2022_rates_inflation_shock
2022-03-10,full_v0,17577.2663999315,14176.362811955407,-0.04014739321997862,2022_rates_inflation_shock
2022-03-11,full_v0,17661.226426361947,14274.537606207226,-0.03556253637131079,2022_rates_inflation_shock
2022-03-14,full_v0,17408.467334551726,13957.221497856042,-0.049365107695048316,2022_rates_inflation_shock
