date,strategy,gross_return,cash_return,transaction_cost,net_return,equity,drawdown,turnover,exposure,cash_weight
2020-07-29,model,0.0020596211596782894,3.329058300184584e-05,0.0,0.002092911742680135,14965.171919876238,0.0,0.0,0.786118777075372,0.21388122292462797
2020-07-30,model,-0.011568606908121112,3.329058300184584e-05,0.0,-0.011535316325119265,14792.543927920673,-0.011535316325119283,0.0,0.786118777075372,0.21388122292462797
2020-07-31,model,0.007770147678477212,3.329058300184584e-05,0.0006901013496331621,0.007113336911845895,14897.768276663255,-0.004504034004678581,0.690101349633162,0.786118777075372,0.21388122292462797
2020-08-03,model,0.00048216977279346427,3.7880178561081594e-05,0.0,0.0005200499513545459,14905.515860330823,-0.00398632637598928,0.0,0.7566321108044822,0.24336788919551777
2020-08-04,model,0.015034175283710129,3.7880178561081594e-05,0.0,0.01507205546227121,15130.172622071492,0.0,0.0,0.7566321108044822,0.24336788919551777
2020-08-05,model,0.00875289072730916,3.7880178561081594e-05,0.0,0.008790770905870242,15263.178503358395,0.0,0.0,0.7566321108044822,0.24336788919551777
2020-08-06,model,0.013382949937365532,3.7880178561081594e-05,0.0,0.013420830115926614,15468.02302908103,0.0,0.0,0.7566321108044822,0.24336788919551777
2020-08-07,model,-0.01177306236547833,3.7880178561081594e-05,0.0,-0.01173518218691725,15286.502960763333,-0.01173518218691727,0.0,0.7566321108044822,0.24336788919551777
2020-08-10,model,0.0026900128605766363,3.7880178561081594e-05,0.0,0.0027278930391377177,15328.202905782757,-0.009039301469580208,0.0,0.7566321108044822,0.24336788919551777
2020-08-11,model,-0.03661303810101934,3.7880178561081594e-05,0.0,-0.03657515792245826,14767.571463836268,-0.04528384551327991,0.0,0.7566321108044822,0.24336788919551777
2020-08-12,model,0.0016176031217087763,3.7880178561081594e-05,0.0,0.001655483300269858,14792.01893178019,-0.0437033288630293,0.0,0.7566321108044822,0.24336788919551777
2020-08-13,model,0.02431178381968386,3.7880178561081594e-05,0.0,0.024349663998244942,15152.199622624717,-0.020417826238203873,0.0,0.7566321108044822,0.24336788919551777
2020-08-14,model,-0.00710009483392556,3.7880178561081594e-05,0.0,-0.007062214655364479,15045.19153638881,-0.027335845821878313,0.0,0.7566321108044822,0.24336788919551777
2020-08-17,model,0.014831312571797003,3.7880178561081594e-05,0.0,0.014869192750358085,15268.90138930943,-0.012873115032039695,0.0,0.7566321108044822,0.24336788919551777
2020-08-18,model,0.004059788402835792,3.7880178561081594e-05,0.0,0.004097668581396873,15331.468286804853,-0.008828196209654249,0.0,0.7566321108044822,0.24336788919551777
2020-08-19,model,-0.014123391803022333,3.7880178561081594e-05,0.0,-0.014085511624461252,15115.516712031003,-0.02278935817378147,0.0,0.7566321108044822,0.24336788919551777
2020-08-20,model,0.004760986266961786,3.7880178561081594e-05,0.0,0.0047988664455228675,15188.05405798711,-0.018099854814513594,0.0,0.7566321108044822,0.24336788919551777
