strategy,ticker,total_return_contribution,contribution_share_abs
momentum_trend_monthly,DBA,0.14282783847675443,0.11514515552226945
momentum_trend_monthly,CPER,0.13004778937027361,0.10484211685948472
momentum_trend_monthly,UNG,-0.14390900959574934,0.11601677563478076
momentum_trend_risk_monthly,GLD,0.39991304755384416,0.3406552323329291
momentum_trend_risk_monthly,SLV,0.21788885092361437,0.18560278937672114
momentum_trend_risk_monthly,USO,0.16182399190109995,0.1378454388905355
momentum_trend_risk_monthly,CPER,0.1539835908767567,0.13116680299988884
momentum_trend_risk_monthly,DBA,0.13244692411538134,0.11282136950090953
momentum_trend_risk_monthly,UNG,0.10789605329285132,0.09190836689901605
momentum_trend_volatility_monthly,GLD,0.41911310813832703,0.38469234269166597
momentum_trend_volatility_monthly,SLV,0.23920986111356624,0.2195641226195058
momentum_trend_volatility_monthly,DBA,0.15565672760363597,0.14287300977901657
momentum_trend_volatility_monthly,CPER,0.14981582191839565,0.13751180382323774
momentum_trend_volatility_monthly,USO,0.12345287363256419,0.11331398194793499
momentum_trend_volatility_monthly,UNG,0.002227694395294749,0.0020447391386388906
full_v0_old_raw_weights_monthly,GLD,0.47349345426829015,0.4426764431514938
full_v0_old_raw_weights_monthly,CPER,0.15945589875955185,0.1490778161051557
full_v0_old_raw_weights_monthly,DBA,0.14191472303855762,0.1326782963084887
full_v0_old_raw_weights_monthly,USO,0.1392914290343337,0.13022573767507517
full_v0_old_raw_weights_monthly,SLV,0.12291382314934188,0.11491405753430352
full_v0_old_raw_weights_monthly,UNG,0.03254587624873325,0.03042764922548323
full_v0_normalised_monthly,GLD,0.4358899540802127,0.433293225160469
full_v0_normalised_monthly,CPER,0.19565887817476735,0.19449327877839415
full_v0_normalised_monthly,USO,0.1407266087898092,0.13988825761561646
full_v0_normalised_monthly,DBA,0.13944624738642708,0.13861552371420535
full_v0_normalised_monthly,SLV,0.05951465526119267,0.05916010837379898
full_v0_normalised_monthly,UNG,0.03475666235743654,0.034549606357516166
signal_x_risk_modifier_monthly,GLD,0.22030042166389863,0.40521697329124656
signal_x_risk_modifier_monthly,DBA,0.16092355773440745,0.29600014609087677
signal_x_risk_modifier_monthly,USO,0.15417836735348933,0.2835931538128553
signal_x_risk_modifier_monthly,CPER,0.008258052946120016,0.015189726805021292
signal_x_risk_modifier_monthly,SLV,0.0,0.0
signal_x_risk_modifier_monthly,UNG,0.0,0.0
momentum_x_risk_monthly,GLD,0.19213835625600095,0.2960826318501229
momentum_x_risk_monthly,USO,0.16329228007632604,0.2516312150676889
momentum_x_risk_monthly,DBA,0.12956735876935463,0.19966156333296653
momentum_x_risk_monthly,CPER,0.07646439614267075,0.11783060963937671
momentum_x_risk_monthly,SLV,0.05748368671862993,0.08858159080648599
momentum_x_risk_monthly,UNG,0.02998883272526588,0.04621238930335908
momentum_x_volatility_monthly,DBA,0.13304014901743566,0.6516313229813989
momentum_x_volatility_monthly,GLD,0.07112460538500633,0.3483686770186011
momentum_x_volatility_monthly,CPER,0.0,0.0
momentum_x_volatility_monthly,SLV,0.0,0.0
momentum_x_volatility_monthly,UNG,0.0,0.0
momentum_x_volatility_monthly,USO,0.0,0.0
